category_truth,text
Core Platform,"Monitoring picked this up a few minutes ago: experiment-service (SEV1) - experiment assignments flapping between variants mid-session, exposure logging down since 12:10. Nothing obvious in the last deploy diff. Needs an owner before it breaches further."
Data Platform,"raising this here first: feature-store-service in prod: offline-to-online feature sync job is crashlooping since 22:35, materialization stalled. mostly ap-south-1 traffic from what we can tell."
Core Platform,"Monitoring picked this up a few minutes ago: experiment-service (SEV1) - assignment cache stampede at 800 rps after the deploy, allocation service saturated. Retried after clearing cache, no change. Nothing obvious in the last deploy diff. Runbook link was stale, routing to you."
Content Discovery,"Subject: Urgent: production issue

To whom it may concern, My homepage rows are completely generic today, none of my usual picks show up.
First noticed by the SEV1 bridge during triage.
Appreciate any help.
Cheers,
Yuki"
Data Platform,"Subject: Urgent: my account

Hello, Client events from last night are missing downstream, there is a gap starting around 22:20.
Retried after clearing cache, no change.
Please advise.
Regards,
Nina"
Core Platform,"anyone else seeing this? experiment-service in prod: experiment assignments flapping between variants mid-session, exposure logging down since 16:25. happens on both web and the tv app."
Core Platform,"Translating the alert for this queue: config-service (SEV1) - config rollout stuck at 31%, flags not propagating and pods holding stale values. Auto-remediation did not kick in."
Monetization Platform,"not sure if known, but re billing-service: billing-api capture latency at 2000ms with CPUThrottlingHigh, throttled ratio 0.66. first noticed by the sev2 bridge during triage. who owns this?"
Streaming Platform,"Monitoring picked this up a few minutes ago: playback-service (SEV3) - playback-api is in CrashLoopBackOff after the canary rollout, exit code 137 with 8 restarts, session starts are failing. Started around 17:45 UTC. Needs an owner before it breaches further."
Identity Platform,"Alertmanager fired and here is the summary: account-service (SEV2) - account detail lookups slow at 2500ms p99, downstream callers timing out. Mostly us-west-2 traffic from what we can tell. Paging felt premature so filing here."
Streaming Platform,"Monitoring picked this up a few minutes ago: playback-service (SEV2) - playback-api RSS is growing ~160MB/min since the latest deploy, GC pauses near 540ms and pod evictions rising. Started around 00:35 UTC. A restart made it better for about ten minutes. Runbook link was stale, routing to you."
Core Platform,"Issue summary: Experiment assignments flapping between variants mid-session
Affected area: experiment-service
Description: Experiment assignments flapping between variants mid-session, exposure logging down since 15:00. Happens on both web and the TV app.
Impact: Multiple customers affected
First noticed: 01:00 UTC"
Streaming Platform,"Issue summary: Multiple playback pods evicted from pressure nodes
Affected area: playback-service (prod)
Description: Multiple playback pods evicted from pressure nodes, node memory available down to 7%. Roughly 6% of attempts are affected.
Impact: Internal workflow blocked
First noticed: 06:00 UTC"
Core Platform,"Issue summary: Config watchers disconnected after the etcd failover
Affected area: config-service (prod)
Description: Config watchers disconnected after the etcd failover, 640 stale clients. Impact is still growing per the last check.
Impact: Multiple customers affected
First noticed: 15:10 UTC"
Core Platform,"not sure if known, but config-service in prod: config rollout stuck at 25%, flags not propagating and pods holding stale values."
Identity Platform,"Subject: Issue: streaming account

Hey, MTLS handshakes failing since the identity-api service certificate expired, 340 handshake failures and counting.
Started around 03:20 UTC.
Can someone take a look?
Best,
Omar"
Core Platform,"anyone else seeing this? re observability-service: otel-collector OOMKilled against the 2Gi limit, span queue depth 1860. impact is still growing per the last check. roughly 33% of attempts are affected. will open a ticket if it persists."
Core Platform,"Issue summary: Tail sampling error-rate policy was disabled in a config rollout
Affected area: observability-service (prod)
Description: Tail sampling error-rate policy was disabled in a config rollout, 14% of error traces dropped. Roughly 17% of attempts are affected. A restart made it better for about ten minutes.
Impact: Intermittent but recurring
First noticed: 07:25 UTC"
Streaming Platform,"Issue summary: Subtitle fetches returning 404 for newly published titles
Affected area: subtitle-service (prod)
Description: Subtitle fetches returning 404 for newly published titles, 340 errors in the last hour. Happens on both web and the TV app. Started around 21:35 UTC.
Impact: Widespread, still growing
First noticed: 22:25 UTC"
Identity Platform,Alertmanager fired and here is the summary: profile-service (SEV1) - profile preference writes timing out at 2000ms after the session cache change. Happens on both web and the TV app. Paging felt premature so filing here.
Content Discovery,"Translating the alert for this queue: recommendation-service (SEV3) - online feature freshness lag exceeds 28m and ranking quality metrics are regressing. Retried after clearing cache, no change. Needs an owner before it breaches further."
Monetization Platform,"Subject: Urgent: service degradation

Hi there, My card was billed two times for the same subscription period and I need one refunded.
Nothing obvious in the last deploy diff.
Thanks!
Regards,
Devon"
Data Platform,"hey folks, event-ingestion-service in prod: client events from last night are missing downstream, there is a gap starting around 11:00."
Content Discovery,"Translating the alert for this queue: recommendation-service (SEV1) - ranker-v42 inference errors spiked after the canary promotion, 13% error rate and homepage personalization degraded. Started around 14:45 UTC. Needs an owner before it breaches further."
Data Platform,"Issue summary: Offline-to-online feature sync job is crashlooping since 19:50
Affected area: feature-store-service (prod)
Description: Offline-to-online feature sync job is crashlooping since 19:50, materialization stalled. First noticed by the SEV2 bridge during triage. Reference SF-9277 from an earlier report that looks related.
Impact: Widespread, still growing
First noticed: 09:15 UTC"
User Engagement,Alertmanager fired and here is the summary: ratings-service (SEV1) - ratings write path erroring for 31% of events since 17:30. Auto-remediation did not kick in.
User Engagement,"Monitoring picked this up a few minutes ago: notification-service (SEV3) - notification dedupe cache flushed during the deploy, users receiving repeats. Auto-remediation did not kick in."
Identity Platform,"Issue summary: Account detail lookups slow at 3000ms p99
Affected area: account-service (prod)
Description: Account detail lookups slow at 3000ms p99, downstream callers timing out. Impact is still growing per the last check. Reference SF-7426 from an earlier report that looks related.
Impact: Internal workflow blocked
First noticed: 20:10 UTC"
Streaming Platform,"Subject: [Customer report] the app

Hi team, DRM license acquisition is failing for ~20% of session starts, license grants timing out at 3000ms.
Started around 16:05 UTC.
Thanks!
- Ingrid"
Data Platform,"Issue summary: Client events from last night are missing downstream
Affected area: event-ingestion-service
Description: Client events from last night are missing downstream, there is a gap starting around 19:45.
Impact: Widespread, still growing
First noticed: 14:50 UTC"
Content Discovery,"Subject: Help needed - production issue

Hi there, Ranker-v42 inference errors spiked after the canary promotion, 35% error rate and homepage personalization degraded.
Appreciate any help.
Best,
Lena"
Monetization Platform,"Subject: Problem with my account

Hi there, Renewal processing backlog at 120 accounts and renewals are failing silently.
Can someone take a look?
Regards,
Jordan"
Core Platform,"Issue summary: The site will not load at all from my location
Affected area: edge-router (prod)
Description: The site will not load at all from my location, it times out before anything appears. Retried after clearing cache, no change.
Impact: Multiple customers affected
First noticed: 10:40 UTC"
Data Platform,"Subject: Issue: production issue

To whom it may concern, Online feature freshness lag at 36m on redis-feature-online, 16% stale features being served.
Started around 00:00 UTC. Nothing obvious in the last deploy diff.
Thanks in advance.
Best,
Lena"
Content Discovery,Translating the alert for this queue: search-service (SEV3) - search p99 at 3420ms with 8% of queries timing out since the index rebuild. First noticed by the SEV3 bridge during triage. Paging felt premature so filing here.
Content Discovery,Monitoring picked this up a few minutes ago: personalization-service (SEV2) - continue-watching row assembly failing for 22% of sessions since 00:10. A restart made it better for about ten minutes. Auto-remediation did not kick in.
Monetization Platform,"Subject: Issue: streaming account

Hey, I upgraded to the premium plan but my account still shows the basic tier.
Retried after clearing cache, no change.
Hope this can be sorted soon.
- Tunde"
Data Platform,"Translating the alert for this queue: analytics-service (SEV1) - nightly aggregation job failed 4 times in a row, exec dashboards stale by 23h. Reference SF-3387 from an earlier report that looks related. Auto-remediation did not kick in."
Data Platform,"Translating the alert for this queue: feature-store-service (SEV2) - online feature freshness lag at 13m on redis-feature-online, 17% stale features being served. Nothing obvious in the last deploy diff. Runbook link was stale, routing to you."
Monetization Platform,"not sure if known, but re subscription-service: renewal processing backlog at 3200 accounts and renewals are failing silently. reference sf-9714 from an earlier report that looks related. will open a ticket if it persists."
Content Discovery,"Subject: Urgent: service degradation

Hi team, The new season released today but it does not show up anywhere in the app.
Let me know if you need more details.
Regards,
Priya"
Data Platform,"Issue summary: The engagement dashboard has not updated since yesterday morning
Affected area: analytics-service (prod)
Description: The engagement dashboard has not updated since yesterday morning. First noticed by the SEV2 bridge during triage.
Impact: Revenue impacting
First noticed: 22:20 UTC"
Core Platform,"hey folks, re api-gateway: gateway returning 502 and 504 across multiple upstreams, 38% of requests failing since 06:55. first noticed by the sev2 bridge during triage. who owns this?"
Identity Platform,"Subject: Urgent: my account

Hi there, My account details page will not load, it just spins forever.
Appreciate any help.
Thanks,
Lena"
Data Platform,"Subject: Issue: my account

Hello, Client events from last night are missing downstream, there is a gap starting around 16:05.
Please advise.
Best,
Maya"
Identity Platform,quick flag: account-service: account creation flow erroring at the final step for 17% of signups since 12:20. first noticed by the sev2 bridge during triage. thread me if you need logs.
Identity Platform,"Issue summary: Account detail lookups slow at 2000ms p99
Affected area: production
Description: Account detail lookups slow at 2000ms p99, downstream callers timing out.
Impact: Widespread, still growing
First noticed: 16:25 UTC"
Content Discovery,fyi - search-service: search index shard 6 is red and results are missing recent titles. can someone take a look?
Identity Platform,"Issue summary: Device token issuance p99 at 3000ms and set-top boxes retry-storming
Affected area: device-auth-service
Description: Device token issuance p99 at 3000ms and set-top boxes retry-storming. Retried after clearing cache, no change.
Impact: Intermittent but recurring
First noticed: 20:40 UTC"
Data Platform,"Translating the alert for this queue: feature-store-service (SEV1) - online feature freshness lag at 8m on redis-feature-online, 8% stale features being served. Needs an owner before it breaches further."
Core Platform,"Paraphrasing the page we just got: edge-router (SEV1) - TLS handshake errors at the edge in us-east-1, 1840 per minute and upstream resets climbing. First noticed by the SEV1 bridge during triage. Auto-remediation did not kick in."
User Engagement,"Issue summary: Transactional email bounce rate up 10% since 20:40
Affected area: email-service (prod)
Description: Transactional email bounce rate up 10% since 20:40, password-reset sends stuck in queue. Retried after clearing cache, no change.
Impact: Revenue impacting
First noticed: 13:10 UTC"
Identity Platform,"Monitoring picked this up a few minutes ago: device-auth-service (SEV3) - device activation code validation failing, 23% of TV sign-ins erroring since the 18:10 deploy. Impact is still growing per the last check. Auto-remediation did not kick in."
User Engagement,"anyone else seeing this? re watchlist-service: watchlist writes returning 409 conflicts, 340 per minute after the schema change. retried after clearing cache, no change. will open a ticket if it persists."
User Engagement,"Subject: Problem with service degradation

Hi support, Titles I add to my list disappear as soon as I refresh.
Reference SF-8973 from an earlier report that looks related. Impact is still growing per the last check.
Can someone take a look?
Best,
Sam"
Core Platform,"Issue summary: TLS handshake errors at the edge in us-west-2
Affected area: production
Description: TLS handshake errors at the edge in us-west-2, 640 per minute and upstream resets climbing. Reference SF-5043 from an earlier report that looks related.
Impact: Revenue impacting
First noticed: 16:15 UTC"
Data Platform,"raising this here first: re feature-store-service: online feature freshness lag at 34m on redis-feature-online, 18% stale features being served. can someone take a look?"
User Engagement,"Issue summary: I get pushes on my tablet but my phone has been silent for days
Affected area: push-service (prod)
Description: I get pushes on my tablet but my phone has been silent for days, same account. Impact is still growing per the last check.
Impact: Internal workflow blocked
First noticed: 12:10 UTC"
Monetization Platform,"Subject: Issue: the app

Hey, My card was billed two times for the same subscription period and I need one refunded.
Please advise.
- Nina"
Content Discovery,"Subject: Issue: service degradation

Hi team, My continue watching row vanished and my list order is completely scrambled.
Reference SF-7044 from an earlier report that looks related. Retried after clearing cache, no change.
Thanks in advance.
- Nina"
Identity Platform,"Issue summary: All my profiles disappeared
Affected area: profile-service (prod)
Description: All my profiles disappeared, only the default one shows up now. Retried after clearing cache, no change. Happens on both web and the TV app.
Impact: Revenue impacting
First noticed: 01:20 UTC"
User Engagement,"Subject: Issue: the app

Hi support, Signup confirmation emails are not arriving so I cannot verify my address.
Thanks!
Thanks,
Sam"
Core Platform,"Issue summary: Half the app shows the new layout and half the old one
Affected area: config-service
Description: Half the app shows the new layout and half the old one, it flips between refreshes. A restart made it better for about ten minutes. Mostly us-east-1 traffic from what we can tell.
Impact: Multiple customers affected
First noticed: 09:15 UTC"
Identity Platform,"Subject: Help needed - the app

Hi support, The login page loops back to itself every time I enter the verification code.
Retried after clearing cache, no change.
Please advise.
Regards,
Tunde"
Content Discovery,"On-call summary from the last page: catalog-service (SEV2) - titles published 7h ago are still not visible in the catalog API, publish pipeline consumer stalled. Auto-remediation did not kick in."
Monetization Platform,"Issue summary: Payment-captures consumers are 210k messages behind and reconciliation freshness has breached its SLO
Affected area: billing-service
Description: Payment-captures consumers are 210k messages behind and reconciliation freshness has breached its SLO, oldest lag 39m.
Impact: Single account affected
First noticed: 21:15 UTC"
Monetization Platform,"Subject: Ongoing issue: the app

Hi team, My payment keeps failing at checkout even though the card works everywhere else.
Impact is still growing per the last check. First noticed by the SEV3 bridge during triage.
Thanks in advance.
Thanks,
Sam"
User Engagement,"quick flag: seeing this on notification-service - notification dedupe cache flushed during the deploy, users receiving repeats. reference sf-1975 from an earlier report that looks related. happy to hop on a call."
Identity Platform,"Issue summary: The activation code from my TV always says expired even when I type it in right away
Affected area: device-auth-service
Description: The activation code from my TV always says expired even when I type it in right away.
Impact: Single account affected
First noticed: 13:15 UTC"
Data Platform,raising this here first: analytics-service: analytics query layer p99 at 2100ms after the warehouse migration.
Identity Platform,"Issue summary: Trying to create an account but it errors every single time on the last step
Affected area: account-service (prod)
Description: Trying to create an account but it errors every single time on the last step. Started around 03:25 UTC.
Impact: Single account affected
First noticed: 22:35 UTC"
Identity Platform,"Issue summary: Account detail lookups slow at 2000ms p99
Affected area: production
Description: Account detail lookups slow at 2000ms p99, downstream callers timing out. Started around 03:20 UTC.
Impact: Multiple customers affected
First noticed: 17:30 UTC"
